excel_row,source_code,permalink
175,2001-H751-8,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-hti-0055?accountid=10598
176,2001-S161-11,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-anf-0004?accountid=10598
177,2001-S181-26,
178,2001-S181-30,
179,2001-S311-1,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0060?accountid=10598
180,2001-S311-10,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0070?accountid=10598
181,2001-S311-14,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0043?accountid=10598
182,2001-S311-19,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0059?accountid=10598
183,2001-S311-24,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0055?accountid=10598
184,2001-S311-34,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0069?accountid=10598
185,2001-S311-45,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2001-nar-0042?accountid=10598
186,2001-S311-46,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2001-nar-0007?accountid=10598
187,2001-S311-47,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2001-nar-0008?accountid=10598
188,2001-S311-49,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2001-nar-0010?accountid=10598
189,2001-S311-51,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2001-nar-0043?accountid=10598
190,2001-S311-53,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2001-nar-0044?accountid=10598
191,2001-S311-54,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2001-nar-0045?accountid=10598
192,2001-S311-56,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2001-nar-0047?accountid=10598
193,2001-S311-7,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0050?accountid=10598
194,2001-S311-8,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0051?accountid=10598
195,2001-S321-10,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-pwo-0002?accountid=10598
196,2001-S321-13,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-pwo-0005?accountid=10598
197,2001-S321-17,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-pwo-0034?accountid=10598
198,2001-S321-21,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-pwo-0012?accountid=10598
199,2001-S321-22,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-pwo-0013?accountid=10598
200,2001-S321-3,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-pwo-0029?accountid=10598
201,2001-S321-6,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-pwo-0006?accountid=10598
202,2001-S321-7,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-pwo-0007?accountid=10598
203,2001-S321-8,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-pwo-0008?accountid=10598
204,2001-S321-9,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-pwo-0009?accountid=10598
205,2001-S361-32,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2001-fns-0034?accountid=10598
206,2001-S361-9,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-fns-0022?accountid=10598
207,2002-H161-5,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2002-hag-0003?accountid=10598
208,2002-H181-11,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2002-hap-0003?accountid=10598
209,2002-H181-16,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2002-hap-0008?accountid=10598
